2022-08-12 00:21:42.306 INFO  club.kwcoder.book.config.LogAspect                :64   [32m27b34d89[0;39m ------------- 【user@kwcoder.club】-【借阅】【查询借阅历史】开始 -------------
2022-08-12 07:10:01.698 INFO  club.kwcoder.book.config.LogAspect                :87   [32m129f48c5[0;39m 返回结果: {"code":200,"data":{"data":[{"book":{"abstractOfBook":"本书是作者在从医业余时间收集的中医药历史文献、历史文化、历史遗存、医学名家故里等资料，编成的一部中国传统中医药历史文化著作。全书从中国石器时代文化遗迹与文物的医学起源开始，到近代医药文化遗迹结束，图文并茂，对于继承和发展中国传统中医药历史文化遗产有重要意义。","author":"范玉强，陈景林主编","classifyId":"R","keyWord":"中国医药学文化史文集","name":"中国中医药文化遗存","publish":"天津天津社会科学院出版社","publishMonth":12,"publishYear":2015,"remain":4,"total":5,"uuid":"f38445cb-45b7-4a14-be4a-d939ab5db56f"},"borrowLog":{"_id":"dc8992d93b9c3e847efdbef2bcfcacca","bookUuid":"f38445cb-45b7-4a14-be4a-d939ab5db56f","borrowDate":1660221335118,"email":"user@kwcoder.club"},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}},{"book":{"abstractOfBook":"本书从医学哲学、医学伦理学、医学管理、医学教育四个方面，对当前医学的诸方面问题与生物医学模式进行了系统的审视。强调对人的生命应有正确的、全面的认识以德治医、以法治医医院管理的对象不应当是纯生物人，而是处在特定社会关系中的现实的人呼吁加强人文医学教育。人文理念始终是贯穿全书的主线。","author":"刘俊荣著","classifyId":"R","keyWord":"医学人文科学研究","name":"人文视野中的医学","publish":"北京中国文史出版社","publishMonth":7,"publishYear":2014,"remain":5,"total":5,"uuid":"98fa313d-4df9-4ed0-b1ad-5239cf3d7816"},"borrowLog":{"_id":"3c520f0f76181127524feab2261ddb98","bookUuid":"98fa313d-4df9-4ed0-b1ad-5239cf3d7816","borrowDate":1660221335793,"email":"user@kwcoder.club","returnDate":1660221365206},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}},{"book":{"abstractOfBook":"本书以一个又一个小故事的串连，讲述了医疗史中的演变，在现代医学未发达之前的千万年间，如何避忌与医治人类疼痛的产生、消亡，以及由此所产生的社会禁忌。作者通过详尽的资料收集，对中外历史上的古药材、俗信禁忌、传统物理治疗，用简单医学术语进行古今东西的辩证说明。医疗与医药，由蒙昧走向今天，使我们思考生命的意义，领悟生命之可贵。","author":"苏上豪著","classifyId":"R","keyWord":"医学史世界通俗读物","name":"暗黑医疗史","publish":"北京现代出版社","publishMonth":9,"publishYear":2016,"remain":4,"total":5,"uuid":"abf09e21-7d3c-423d-9ccd-45fb629aa73c"},"borrowLog":{"_id":"16e26da068cf34aeb203df449000d848","bookUuid":"abf09e21-7d3c-423d-9ccd-45fb629aa73c","borrowDate":1660221336481,"email":"user@kwcoder.club"},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}},{"book":{"abstractOfBook":"本书主要分三篇上篇物辞存在与认识的对话中篇如何认识生命下篇物质整体哲学观指导下的整体医学探索。主要内容包括存在于认识存在物质是什么如何认识物质等。","author":"肖正权著","classifyId":"R","keyWord":"医学哲学研究","name":"物质整体哲学与整体医学","publish":"北京中医古籍出版社","publishMonth":9,"publishYear":2016,"remain":4,"total":5,"uuid":"b4615b0a-74b4-4e57-8688-c914c2083043"},"borrowLog":{"_id":"c92e885cbc03964017f3706aeea0d9d5","bookUuid":"b4615b0a-74b4-4e57-8688-c914c2083043","borrowDate":1660221337295,"email":"user@kwcoder.club"},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}},{"book":{"abstractOfBook":"本书突破了以往从单一学科研究医学的局限，集道家、道教、哲学、史学、医学、生命学、养生学之智慧，以老子道德经的思想，对道医文化进行了整体研究，系统阐述了道医学体系、技术及其在当代社会中的重要价值，较完整地再现了道医文化的内在逻辑结构，在多方面学术上做出了深入的探索。","author":"祝守明著","classifyId":"R","keyWord":"道教中医学","name":"道医概说","publish":"北京中医古籍出版社","publishMonth":3,"publishYear":2009,"remain":4,"total":5,"uuid":"066185a0-136d-4351-b602-dbe3671909f5"},"borrowLog":{"_id":"f92981234b230b32aa67abf7ce16b154","bookUuid":"066185a0-136d-4351-b602-dbe3671909f5","borrowDate":1660221337864,"email":"user@kwcoder.club"},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}}],"page":1,"size":10,"total":5},"flag":true,"message":"查询成功！"}
2022-08-12 07:10:01.699 INFO  club.kwcoder.book.config.LogAspect                :88   [32m129f48c5[0;39m ------------- 结束 耗时：63 ms -------------
2022-08-12 07:10:35.464 INFO  club.kwcoder.book.config.LogAspect                :64   [32mc818dc82[0;39m ------------- 【user@kwcoder.club】-【借阅】【查询借阅历史】开始 -------------
2022-08-12 07:10:35.465 INFO  club.kwcoder.book.config.LogAspect                :64   [32m5cb5069e[0;39m ------------- 【admin@kwcoder.club】-【用户】【查询】开始 -------------
2022-08-12 07:10:35.467 INFO  club.kwcoder.book.config.LogAspect                :65   [32m5cb5069e[0;39m 请求地址: http://localhost:8080/user/list GET
2022-08-12 07:10:35.467 INFO  club.kwcoder.book.config.LogAspect                :65   [32mc818dc82[0;39m 请求地址: http://localhost:8080/borrow/list GET
2022-08-12 07:10:35.467 INFO  club.kwcoder.book.config.LogAspect                :66   [32m5cb5069e[0;39m 类名方法: club.kwcoder.book.controller.UserController.list
2022-08-12 07:10:35.467 INFO  club.kwcoder.book.config.LogAspect                :66   [32mc818dc82[0;39m 类名方法: club.kwcoder.book.controller.BorrowController.list
2022-08-12 07:10:35.468 INFO  club.kwcoder.book.config.LogAspect                :67   [32mc818dc82[0;39m 远程地址: 0:0:0:0:0:0:0:1
2022-08-12 07:10:35.468 INFO  club.kwcoder.book.config.LogAspect                :67   [32m5cb5069e[0;39m 远程地址: 0:0:0:0:0:0:0:1
2022-08-12 07:10:35.470 INFO  club.kwcoder.book.config.LogAspect                :80   [32m5cb5069e[0;39m 请求参数: [1,10,null,null,null]
2022-08-12 07:10:35.470 INFO  club.kwcoder.book.config.LogAspect                :80   [32mc818dc82[0;39m 请求参数: [1,10,true,null]
2022-08-12 07:10:35.490 INFO  club.kwcoder.book.config.LogAspect                :87   [32mc818dc82[0;39m 返回结果: {"code":200,"data":{"data":[{"book":{"abstractOfBook":"本书是作者在从医业余时间收集的中医药历史文献、历史文化、历史遗存、医学名家故里等资料，编成的一部中国传统中医药历史文化著作。全书从中国石器时代文化遗迹与文物的医学起源开始，到近代医药文化遗迹结束，图文并茂，对于继承和发展中国传统中医药历史文化遗产有重要意义。","author":"范玉强，陈景林主编","classifyId":"R","keyWord":"中国医药学文化史文集","name":"中国中医药文化遗存","publish":"天津天津社会科学院出版社","publishMonth":12,"publishYear":2015,"remain":4,"total":5,"uuid":"f38445cb-45b7-4a14-be4a-d939ab5db56f"},"borrowLog":{"_id":"dc8992d93b9c3e847efdbef2bcfcacca","bookUuid":"f38445cb-45b7-4a14-be4a-d939ab5db56f","borrowDate":1660221335118,"email":"user@kwcoder.club"},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}},{"book":{"abstractOfBook":"本书从医学哲学、医学伦理学、医学管理、医学教育四个方面，对当前医学的诸方面问题与生物医学模式进行了系统的审视。强调对人的生命应有正确的、全面的认识以德治医、以法治医医院管理的对象不应当是纯生物人，而是处在特定社会关系中的现实的人呼吁加强人文医学教育。人文理念始终是贯穿全书的主线。","author":"刘俊荣著","classifyId":"R","keyWord":"医学人文科学研究","name":"人文视野中的医学","publish":"北京中国文史出版社","publishMonth":7,"publishYear":2014,"remain":5,"total":5,"uuid":"98fa313d-4df9-4ed0-b1ad-5239cf3d7816"},"borrowLog":{"_id":"3c520f0f76181127524feab2261ddb98","bookUuid":"98fa313d-4df9-4ed0-b1ad-5239cf3d7816","borrowDate":1660221335793,"email":"user@kwcoder.club","returnDate":1660221365206},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}},{"book":{"abstractOfBook":"本书以一个又一个小故事的串连，讲述了医疗史中的演变，在现代医学未发达之前的千万年间，如何避忌与医治人类疼痛的产生、消亡，以及由此所产生的社会禁忌。作者通过详尽的资料收集，对中外历史上的古药材、俗信禁忌、传统物理治疗，用简单医学术语进行古今东西的辩证说明。医疗与医药，由蒙昧走向今天，使我们思考生命的意义，领悟生命之可贵。","author":"苏上豪著","classifyId":"R","keyWord":"医学史世界通俗读物","name":"暗黑医疗史","publish":"北京现代出版社","publishMonth":9,"publishYear":2016,"remain":4,"total":5,"uuid":"abf09e21-7d3c-423d-9ccd-45fb629aa73c"},"borrowLog":{"_id":"16e26da068cf34aeb203df449000d848","bookUuid":"abf09e21-7d3c-423d-9ccd-45fb629aa73c","borrowDate":1660221336481,"email":"user@kwcoder.club"},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}},{"book":{"abstractOfBook":"本书主要分三篇上篇物辞存在与认识的对话中篇如何认识生命下篇物质整体哲学观指导下的整体医学探索。主要内容包括存在于认识存在物质是什么如何认识物质等。","author":"肖正权著","classifyId":"R","keyWord":"医学哲学研究","name":"物质整体哲学与整体医学","publish":"北京中医古籍出版社","publishMonth":9,"publishYear":2016,"remain":4,"total":5,"uuid":"b4615b0a-74b4-4e57-8688-c914c2083043"},"borrowLog":{"_id":"c92e885cbc03964017f3706aeea0d9d5","bookUuid":"b4615b0a-74b4-4e57-8688-c914c2083043","borrowDate":1660221337295,"email":"user@kwcoder.club"},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}},{"book":{"abstractOfBook":"本书突破了以往从单一学科研究医学的局限，集道家、道教、哲学、史学、医学、生命学、养生学之智慧，以老子道德经的思想，对道医文化进行了整体研究，系统阐述了道医学体系、技术及其在当代社会中的重要价值，较完整地再现了道医文化的内在逻辑结构，在多方面学术上做出了深入的探索。","author":"祝守明著","classifyId":"R","keyWord":"道教中医学","name":"道医概说","publish":"北京中医古籍出版社","publishMonth":3,"publishYear":2009,"remain":4,"total":5,"uuid":"066185a0-136d-4351-b602-dbe3671909f5"},"borrowLog":{"_id":"f92981234b230b32aa67abf7ce16b154","bookUuid":"066185a0-136d-4351-b602-dbe3671909f5","borrowDate":1660221337864,"email":"user@kwcoder.club"},"user":{"email":"user@kwcoder.club","lastLogin":1660220305146,"name":"user@kwcoder.club","password":"$2a$10$0Mo3FIpjFikJAaUnDEUuc.lUXppOO0TaH5pr4/YkGtpNvpTXcW5cm","register":1660203911739,"remain":1}}],"page":1,"size":10,"total":5},"flag":true,"message":"查询成功！"}
2022-08-12 07:10:35.490 INFO  club.kwcoder.book.config.LogAspect                :88   [32mc818dc82[0;39m ------------- 结束 耗时：29 ms -------------
2022-08-12 07:10:35.496 INFO  club.kwcoder.book.config.LogAspect                :87   [32m5cb5069e[0;39m 返回结果: {"code":200,"data":{"data":[{"borrowTotal":0,"email":"admin@kwcoder.club","name":"admin@kwcoder.club","remain":5},{"borrowTotal":5,"email":"user@kwcoder.club","name":"user@kwcoder.club","remain":1}],"page":1,"size":10,"total":2},"flag":true,"message":"查询成功！"}
2022-08-12 07:10:35.497 INFO  club.kwcoder.book.config.LogAspect                :88   [32m5cb5069e[0;39m ------------- 结束 耗时：36 ms -------------
